alpha0,alpha1,alpha2,alpha3,Cx0Mean,Cy0Mean,Cm0Mean, Cx1Mean,Cy1Mean,Cm1Mean, Cx2Mean,Cy2Mean,Cm2Mean, Cx3Mean,Cy3Mean,Cm3Mean,Flag,,,SumCx,SumCy
-1,-4,-6,-20,2.15151,1.369914,-0.368058,1.31161,1.076245,-0.271664,2.196167,2.041931,-0.511573,1.417867,1.756735,-0.330121,NOTCONVERGED,,,7.077154,6.244825
1,-4,-6,-20,2.044306,1.296319,-0.36663,1.30189,1.0865,-0.276312,2.189111,2.025788,-0.507154,1.246235,1.606644,-0.320362,NOTCONVERGED,,,6.781542,6.015251
3,-4,-6,-20,1.935139,1.217817,-0.363341,1.314434,1.090286,-0.276665,2.205323,2.025782,-0.506718,1.264744,1.62079,-0.32231,NOTCONVERGED,,,6.71964,5.954675
5,-4,-6,-20,1.814671,1.134092,-0.358224,1.327368,1.094879,-0.277304,2.22203,2.025097,-0.506132,1.275822,1.628573,-0.32406,NOTCONVERGED,,,6.639891,5.882641
-5,-2,-6,-20,0.751328,0.787332,-0.265425,1.250019,1.071317,-0.292241,2.470351,2.125236,-0.510739,0.748541,1.319081,-0.371991,NOTCONVERGED,,,5.220239,5.302966
-3,-2,-6,-20,0.856843,0.789249,-0.256661,1.23752,1.06257,-0.290123,2.374353,2.065755,-0.502492,0.756343,1.324238,-0.370981,NOTCONVERGED,,,5.225059,5.241812
-1,-2,-6,-20,2.058328,1.336859,-0.357853,1.128016,0.997488,-0.275944,2.118143,1.976468,-0.495259,0.790376,1.323666,-0.352285,NOTCONVERGED,,,6.094863,5.634481
1,-2,-6,-20,2.033424,1.291304,-0.365003,1.211193,1.003087,-0.269149,2.184009,2.020695,-0.506004,1.273705,1.623766,-0.323701,NOTCONVERGED,,,6.702331,5.938852
3,-2,-6,-20,1.854605,1.186931,-0.35357,1.147386,1.007599,-0.278046,2.14193,1.972058,-0.493092,0.786334,1.324618,-0.355446,NOTCONVERGED,,,5.930255,5.491206
5,-2,-6,-20,1.732287,1.101978,-0.347916,1.157076,1.013083,-0.279219,2.155804,1.96927,-0.491975,0.780697,1.32338,-0.357342,NOTCONVERGED,,,5.825864,5.407711
-5,0,-6,-20,0.747099,0.782391,-0.263206,1.13272,0.970011,-0.28169,2.452756,2.111582,-0.507808,0.738132,1.3144,-0.374889,NOTCONVERGED,,,5.070707,5.178384
-3,0,-6,-20,0.86064,0.787682,-0.25442,1.120175,0.961205,-0.279412,2.353748,2.050297,-0.499121,0.747096,1.319198,-0.373478,NOTCONVERGED,,,5.081659,5.118382
-1,0,-6,-20,2.039518,1.329242,-0.355562,1.015681,0.898207,-0.265265,2.104655,1.964298,-0.492064,0.776669,1.317445,-0.35649,NOTCONVERGED,,,5.936523,5.509192
1,0,-6,-20,1.946717,1.258963,-0.35504,1.023826,0.902531,-0.266077,2.115324,1.96219,-0.491047,0.775146,1.318241,-0.35795,NOTCONVERGED,,,5.861013,5.441925
3,0,-6,-20,1.835152,1.178846,-0.351055,1.033721,0.908011,-0.267228,2.128687,1.960145,-0.490115,0.771116,1.316821,-0.359283,NOTCONVERGED,,,5.768676,5.363823
5,0,-6,-20,1.71307,1.093673,-0.345143,1.044131,0.913795,-0.268487,2.143548,1.958132,-0.489209,0.76826,1.317619,-0.361167,NOTCONVERGED,,,5.669009,5.283219
-5,-10,-4,-20,0.803848,0.834992,-0.280861,1.626467,1.413169,-0.314091,2.314016,1.989828,-0.507705,0.77642,1.33839,-0.365571,NOTCONVERGED,,,5.520751,5.576379
-3,-10,-4,-20,1.06645,0.92851,-0.292912,1.602012,1.396938,-0.311204,2.143064,1.89724,-0.493857,0.779437,1.338445,-0.362794,NOTCONVERGED,,,5.590963,5.561133
-1,-10,-4,-20,2.134243,1.389379,-0.374756,1.509268,1.34057,-0.300261,2.004282,1.862985,-0.495661,0.864001,1.366179,-0.337782,NOTCONVERGED,,,6.511794,5.959113
1,-10,-4,-20,2.035452,1.314863,-0.373525,1.515548,1.343574,-0.300644,2.017592,1.863382,-0.49517,0.854048,1.363074,-0.340949,NOTCONVERGED,,,6.42264,5.884893
3,-10,-4,-20,1.917223,1.230789,-0.369063,1.525795,1.349088,-0.30199,2.031057,1.862066,-0.493864,0.846079,1.359362,-0.342785,NOTCONVERGED,,,6.320154,5.801305
5,-10,-4,-20,1.788652,1.141726,-0.362652,1.536192,1.355049,-0.303257,2.046881,1.861246,-0.492814,0.832451,1.354294,-0.346324,NOTCONVERGED,,,6.204176,5.712315
-5,-8,-4,-20,0.799745,0.831255,-0.279302,1.560943,1.346361,-0.313481,2.306912,1.983897,-0.506321,0.77444,1.337572,-0.367455,NOTCONVERGED,,,5.44204,5.499085
-3,-8,-4,-20,1.080509,0.934532,-0.293182,1.531385,1.327182,-0.309735,2.132335,1.889697,-0.492425,0.778707,1.338439,-0.36438,NOTCONVERGED,,,5.522936,5.48985
-1,-8,-4,-20,2.226854,1.417631,-0.383578,1.474199,1.176438,-0.264197,2.091421,1.931595,-0.513511,1.733341,2.059506,-0.374512,NOTCONVERGED,,,7.525815,6.58517
1,-8,-4,-20,2.127803,1.346048,-0.383479,1.483655,1.186487,-0.266886,2.095066,1.925353,-0.511191,1.689861,2.016622,-0.366807,NOTCONVERGED,,,7.396385,6.47451
3,-8,-4,-20,1.987433,1.256554,-0.377391,1.494968,1.217105,-0.276341,2.087244,1.907877,-0.505875,1.50699,1.845365,-0.340676,NOTCONVERGED,,,7.076635,6.226901
5,-8,-4,-20,1.828531,1.15682,-0.367526,1.494908,1.251016,-0.287457,2.07922,1.887768,-0.49994,1.227251,1.595567,-0.319394,NOTCONVERGED,,,6.62991,5.891171
-5,-6,-4,-20,0.798665,0.827493,-0.2772,1.471358,1.264281,-0.309217,2.293459,1.973722,-0.504065,0.769334,1.334068,-0.369064,NOTCONVERGED,,,5.332816,5.399564
-3,-6,-4,-20,1.110045,0.945955,-0.293014,1.437718,1.242968,-0.304924,2.118546,1.879768,-0.490445,0.776894,1.335445,-0.364851,NOTCONVERGED,,,5.443203,5.404136
-1,-6,-4,-20,2.185911,1.40583,-0.380025,1.413816,1.152068,-0.27526,2.052404,1.901648,-0.505772,1.499255,1.837604,-0.339737,NOTCONVERGED,,,7.151386,6.29715
1,-6,-4,-20,2.06927,1.326403,-0.377119,1.409078,1.168339,-0.281184,2.047244,1.887548,-0.501455,1.324507,1.67619,-0.322438,NOTCONVERGED,,,6.850099,6.05848
3,-6,-4,-20,1.947358,1.241171,-0.37228,1.415808,1.176918,-0.283865,2.05792,1.883492,-0.499475,1.262615,1.623531,-0.322411,NOTCONVERGED,,,6.683701,5.925112
5,-6,-4,-20,1.82317,1.154134,-0.36658,1.42801,1.17983,-0.283879,2.077298,1.885665,-0.499355,1.280202,1.636738,-0.324464,NOTCONVERGED,,,6.60868,5.856367
-5,-4,-4,-20,0.797804,0.823676,-0.274974,1.367993,1.172898,-0.302114,2.277653,1.961709,-0.501403,0.759269,1.329743,-0.372045,NOTCONVERGED,,,5.202719,5.288026
-3,-4,-4,-20,1.125411,0.948049,-0.28985,1.33438,1.151145,-0.29744,2.104307,1.868627,-0.487888,0.772779,1.333946,-0.367575,NOTCONVERGED,,,5.336877,5.301767
-1,-4,-4,-20,2.145069,1.391164,-0.375381,1.306539,1.090147,-0.277147,2.020261,1.874933,-0.498891,1.253824,1.611989,-0.320757,NOTCONVERGED,,,6.725693,5.968233
1,-4,-4,-20,2.051173,1.319255,-0.375054,1.317105,1.093245,-0.277396,2.03425,1.876094,-0.498395,1.268239,1.623793,-0.322972,NOTCONVERGED,,,6.670767,5.912387
3,-4,-4,-20,1.936812,1.23642,-0.370742,1.330035,1.09699,-0.277688,2.053045,1.878678,-0.498291,1.288292,1.639048,-0.324971,NOTCONVERGED,,,6.608184,5.851136
5,-4,-4,-20,1.743098,1.122065,-0.356148,1.276548,1.115565,-0.289896,2.018149,1.835789,-0.486034,0.791525,1.333774,-0.357454,NOTCONVERGED,,,5.82932,5.407193
-5,-2,-4,-20,0.796101,0.819387,-0.272514,1.25793,1.076963,-0.293722,2.262137,1.949693,-0.498697,0.749551,1.323307,-0.373925,NOTCONVERGED,,,5.065719,5.16935
-3,-2,-4,-20,1.144487,0.949266,-0.284821,1.223608,1.054864,-0.288688,2.093497,1.859041,-0.48574,0.767172,1.330289,-0.369422,NOTCONVERGED,,,5.228764,5.19346
